Date,Price,Open,High,Low,Vol.,Change %
22-Mar-19,1312.30,1309.30,1314.70,1306.50,-,0.003800
21-Mar-19,1307.30,1312.70,1320.20,1302.80,332.61K,0.004300
20-Mar-19,1301.70,1306.00,1317.20,1298.10,370.40K,-0.003700
19-Mar-19,1306.50,1303.70,1310.80,1302.10,206.90K,0.003800
18-Mar-19,1301.50,1302.00,1306.70,1298.00,176.49K,-0.001100
15-Mar-19,1302.90,1295.60,1306.30,1293.70,234.65K,0.006000
14-Mar-19,1295.10,1309.50,1310.30,1292.50,248.21K,-0.010800
13-Mar-19,1309.30,1301.80,1311.60,1300.60,214.24K,0.008600
12-Mar-19,1298.10,1293.60,1302.60,1292.00,203.89K,0.005400
11-Mar-19,1291.10,1298.20,1299.20,1290.60,196.86K,-0.006300
8-Mar-19,1299.30,1286.70,1301.30,1285.60,283.84K,0.010300
7-Mar-19,1286.10,1287.30,1289.60,1280.80,257.92K,-0.001200
6-Mar-19,1287.60,1288.80,1291.80,1284.30,192.93K,0.002300
5-Mar-19,1284.70,1287.80,1290.60,1282.00,216.93K,-0.002200
4-Mar-19,1287.50,1294.40,1298.10,1283.80,268.39K,-0.009000
1-Mar-19,1299.20,1315.50,1316.50,1291.30,343.47K,-0.012800
28-Feb-19,1316.10,1321.70,1328.90,1314.00,252.24K,-0.003900
27-Feb-19,1321.20,1331.00,1332.00,1318.40,198.04K,-0.005500
26-Feb-19,1328.50,1329.90,1332.40,1325.50,185.56K,-0.000800
25-Feb-19,1329.50,1331.90,1334.90,1327.30,181.78K,-0.002500
22-Feb-19,1332.80,1325.80,1335.60,1323.80,241.80K,0.003800
21-Feb-19,1327.80,1341.70,1344.30,1323.30,285.81K,-0.014900
20-Feb-19,1347.90,1343.90,1349.80,1339.80,246.72K,0.002300
19-Feb-19,1344.80,1325.00,1345.00,1323.80,348.64K,0.011500
18-Feb-19,1329.55,1324.35,1330.75,1324.05,-,0.004000
17-Feb-19,1324.25,1324.65,1324.95,1323.85,-,0.001600
15-Feb-19,1322.10,1315.50,1325.80,1314.30,200.28K,0.006200
14-Feb-19,1313.90,1309.60,1317.40,1304.70,228.46K,-0.000900
13-Feb-19,1315.10,1314.30,1321.70,1308.10,213.96K,0.000800
12-Feb-19,1314.00,1311.60,1318.30,1310.00,146.45K,0.001600
11-Feb-19,1311.90,1318.10,1318.70,1307.10,150.61K,-0.005000
8-Feb-19,1318.50,1314.30,1319.50,1311.50,135.69K,0.003300
7-Feb-19,1314.20,1310.90,1315.80,1306.40,166.76K,-0.000200
6-Feb-19,1314.40,1319.40,1319.90,1309.60,137.25K,-0.003600
