"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2019","129.725","130.000","130.250","128.775","-","-0.13%"
"Mar 21, 2019","129.900","129.675","130.450","128.975","13.56K","0.25%"
"Mar 20, 2019","129.575","129.400","129.850","128.900","13.95K","0.35%"
"Mar 19, 2019","129.125","128.550","129.950","128.175","27.88K","0.62%"
"Mar 18, 2019","128.325","129.250","129.700","128.200","37.28K","-0.60%"
"Mar 15, 2019","129.100","127.550","129.250","127.050","32.26K","1.33%"
"Mar 14, 2019","127.400","127.000","127.875","126.950","27.69K","0.57%"
"Mar 13, 2019","126.675","126.600","127.600","126.350","41.89K","0.02%"
"Mar 12, 2019","126.650","129.175","129.400","126.325","55.42K","-1.82%"
"Mar 11, 2019","129.000","129.500","129.650","128.600","36.42K","-0.52%"
"Mar 08, 2019","129.675","128.900","129.875","128.525","35.86K","0.56%"
"Mar 07, 2019","128.950","128.800","129.225","128.700","34.57K","0.04%"
"Mar 06, 2019","128.900","128.825","129.125","128.450","19.75K","0.06%"
"Mar 05, 2019","128.825","128.275","129.075","128.100","23.16K","0.37%"
"Mar 04, 2019","128.350","129.800","129.800","128.125","39.81K","-0.93%"
"Mar 01, 2019","129.550","130.150","130.450","129.025","38.07K","-0.31%"
"Feb 28, 2019","129.950","129.575","129.950","128.450","0.41K","0.43%"
"Feb 27, 2019","129.400","129.575","129.725","129.125","1.50K","-0.14%"
"Feb 26, 2019","129.575","128.925","129.825","128.775","1.16K","0.80%"
"Feb 25, 2019","128.550","128.675","129.000","128.000","2.00K","-0.10%"
"Feb 22, 2019","128.675","127.700","128.750","127.675","1.73K","0.82%"
"Feb 21, 2019","127.625","128.450","128.600","127.325","2.80K","-0.55%"
"Feb 20, 2019","128.325","127.850","128.375","127.800","2.08K","0.35%"
"Feb 19, 2019","127.875","126.975","128.525","126.850","3.03K","0.99%"
"Feb 15, 2019","126.625","126.300","126.700","126.025","4.89K","0.40%"
"Feb 14, 2019","126.125","125.850","126.250","125.525","5.99K","0.14%"
"Feb 13, 2019","125.950","126.550","126.725","125.875","5.32K","-0.69%"
"Feb 12, 2019","126.825","127.825","127.850","126.775","7.04K","-0.78%"
"Feb 11, 2019","127.825","127.250","127.900","127.025","4.26K","0.35%"
"Feb 08, 2019","127.375","126.525","127.475","126.400","2.97K","0.85%"
"Feb 07, 2019","126.300","126.000","126.775","125.900","3.77K","-0.08%"
"Feb 06, 2019","126.400","126.400","126.675","126.025","5.52K","-0.24%"
"Feb 05, 2019","126.700","125.850","126.850","125.850","4.25K","0.78%"
"Feb 04, 2019","125.725","125.850","126.650","125.500","8.86K","0.22%"
"Feb 01, 2019","125.450","125.000","125.725","124.850","11.00K","0.52%"
"Jan 31, 2019","124.800","126.150","127.125","124.725","16.34K","-1.07%"
"Jan 30, 2019","126.150","126.600","126.625","126.050","11.05K","-0.26%"
"Jan 29, 2019","126.475","126.525","126.725","126.100","10.67K","0.06%"
"Jan 28, 2019","126.400","125.925","126.600","125.575","10.09K","0.28%"
"Jan 25, 2019","126.050","125.225","126.350","125.000","14.49K","0.56%"
"Jan 24, 2019","125.350","125.550","125.625","124.925","10.62K","-0.16%"
"Jan 23, 2019","125.550","125.125","125.625","124.700","10.51K","0.34%"
"Jan 22, 2019","125.125","125.900","126.025","124.850","17.04K","-1.11%"
"Jan 18, 2019","126.525","127.025","127.175","126.225","19.65K","-0.45%"
"Jan 17, 2019","127.100","127.675","127.700","126.250","16.49K","-0.57%"
"Jan 16, 2019","127.825","127.175","127.950","126.725","27.66K","0.69%"
"Jan 15, 2019","126.950","125.400","127.100","125.250","37.37K","1.22%"
"Jan 14, 2019","125.425","125.000","125.625","124.775","31.62K","0.36%"
"Jan 11, 2019","124.975","125.025","125.650","124.725","43.19K","0.08%"
"Jan 10, 2019","124.875","124.650","125.150","124.575","41.64K","0.06%"
