Date,Price,Open,High,Low,Vol.,Change %
22-Mar-19,847.95,860.30,867.65,846.75,-,-0.014400
21-Mar-19,860.35,868.45,876.70,858.00,-,-0.009400
20-Mar-19,868.50,851.70,869.00,851.40,-,0.019700
19-Mar-19,851.70,836.10,856.25,835.10,-,0.018500
18-Mar-19,836.20,830.70,839.70,823.65,-,0.006800
17-Mar-19,830.55,831.75,832.50,830.15,-,-0.001500
15-Mar-19,831.80,825.45,836.80,825.00,-,0.007800
14-Mar-19,825.40,842.05,843.70,824.10,-,-0.019800
13-Mar-19,842.05,836.00,849.40,832.70,-,0.007400
12-Mar-19,835.90,820.80,837.90,820.45,-,0.018600
11-Mar-19,820.65,818.20,821.15,809.60,-,0.003100
10-Mar-19,818.15,819.05,819.05,814.95,-,-0.000900
8-Mar-19,818.85,816.20,822.50,812.65,-,0.002900
7-Mar-19,816.50,829.00,830.00,814.50,-,-0.015900
6-Mar-19,829.70,838.85,839.90,826.50,-,-0.011200
5-Mar-19,839.10,840.50,843.10,835.05,-,-0.001800
4-Mar-19,840.60,864.20,865.80,837.20,-,-0.026700
3-Mar-19,863.70,864.05,866.05,862.60,-,0.001700
1-Mar-19,862.20,874.15,877.10,859.40,-,-0.013600
28-Feb-19,874.10,871.95,879.80,865.35,-,0.002600
27-Feb-19,871.85,863.20,876.80,861.60,-,0.010100
26-Feb-19,863.10,857.20,864.70,849.25,-,0.007400
25-Feb-19,856.80,847.15,858.80,846.85,-,0.011800
24-Feb-19,846.80,846.65,847.45,845.35,-,0.001600
22-Feb-19,845.45,827.15,847.45,825.90,-,0.022400
21-Feb-19,826.90,830.80,832.90,820.80,-,-0.004200
20-Feb-19,830.40,821.60,836.10,821.00,-,0.011000
19-Feb-19,821.40,808.80,824.10,807.90,-,0.015600
18-Feb-19,808.75,806.60,811.10,804.00,-,0.002700
17-Feb-19,806.60,808.55,809.40,806.55,-,-0.002400
15-Feb-19,808.55,788.85,809.55,785.10,-,0.025100
14-Feb-19,788.75,788.25,791.30,780.90,-,0.000400
13-Feb-19,788.40,793.15,796.35,787.35,-,-0.006500
12-Feb-19,793.55,789.30,794.90,785.55,-,0.004800
11-Feb-19,789.75,802.05,802.05,786.00,-,-0.015600
10-Feb-19,802.30,802.25,804.10,802.05,-,0.000100
8-Feb-19,802.20,800.50,803.00,796.00,-,0.001700
7-Feb-19,800.80,807.10,810.00,796.80,-,-0.007800
6-Feb-19,807.10,821.65,824.80,807.10,-,-0.017300
5-Feb-19,821.35,822.65,827.35,819.00,-,-0.001400
4-Feb-19,822.50,826.40,828.10,816.40,-,-0.004200
3-Feb-19,826.00,825.60,828.20,824.85,-,0.000100
1-Feb-19,825.90,823.70,834.95,820.20,-,0.003500
31-Jan-19,823.00,820.05,828.15,818.15,-,0.004100
30-Jan-19,819.60,816.65,823.80,814.60,-,0.004000
29-Jan-19,816.30,814.50,821.50,813.30,-,0.002800
28-Jan-19,814.00,818.40,822.20,811.00,-,-0.005400
27-Jan-19,818.40,820.70,820.80,818.35,-,-0.002700
25-Jan-19,820.65,804.75,822.00,803.85,-,0.019900
24-Jan-19,804.60,797.15,807.10,792.05,-,0.008800
23-Jan-19,797.55,793.65,798.20,791.00,-,0.004500
22-Jan-19,794.00,798.30,800.90,788.85,-,-0.005600
21-Jan-19,798.45,801.25,803.90,796.40,-,-0.003600
20-Jan-19,801.35,800.00,802.95,796.40,-,0.001300
18-Jan-19,800.30,812.25,818.10,797.75,-,-0.014900
17-Jan-19,812.40,809.15,816.00,803.65,-,0.003800
16-Jan-19,809.35,803.65,810.70,800.30,-,0.006900
15-Jan-19,803.80,808.30,809.75,798.75,-,-0.006100
14-Jan-19,808.70,814.25,816.70,801.80,-,-0.006900
13-Jan-19,814.30,814.40,815.20,813.75,-,0.000600
