Date,Price,Open,High,Low,Vol.,Change %
22-Mar-19,904.12,909.88,911.88,903.12,-,-0.007
21-Mar-19,910.50,905.62,911.88,903.62,-,0.0058
20-Mar-19,905.25,902.88,906.25,899.38,-,0.0019
19-Mar-19,903.50,905.88,909.38,900.12,-,-0.0022
18-Mar-19,905.50,909.88,911.38,901.88,-,-0.0043
15-Mar-19,909.38,899.38,910.62,898.12,-,0.0115
14-Mar-19,899.00,901.12,906.12,895.62,-,-0.0028
13-Mar-19,901.50,896.12,903.12,892.38,-,0.0056
12-Mar-19,896.50,890.12,899.88,887.88,-,0.0073
11-Mar-19,890.00,897.88,898.88,889.62,-,-0.0057
8-Mar-19,895.12,901.50,904.62,892.38,-,-0.0071
7-Mar-19,901.50,902.00,907.38,898.38,-,-0.0006
6-Mar-19,902.00,913.75,916.12,901.12,-,-0.0129
5-Mar-19,913.75,916.25,918.38,909.12,-,-0.0027
4-Mar-19,916.25,914.88,924.38,913.12,-,0.0062
1-Mar-19,910.62,910.00,917.88,900.62,-,0.0007
28-Feb-19,910.00,916.50,918.12,909.88,-,-0.0071
27-Feb-19,916.50,917.50,923.12,913.62,-,-0.0011
26-Feb-19,917.50,924.00,924.00,912.38,-,-0.007
25-Feb-19,924.00,930.88,934.38,923.75,-,0.0151
22-Feb-19,910.25,910.75,914.75,907.62,-,-0.0005
21-Feb-19,910.75,902.25,916.12,900.00,-,0.0089
20-Feb-19,902.75,901.75,904.88,893.12,-,0.0011
19-Feb-19,901.75,907.25,911.12,894.88,-,-0.0063
18-Feb-19,907.50,907.75,907.75,907.50,-,-0.0003
17-Feb-19,907.75,907.50,907.75,907.50,-,0.0001
15-Feb-19,907.62,905.75,909.38,901.38,-,0.0021
14-Feb-19,905.75,917.50,918.12,903.12,-,-0.0127
13-Feb-19,917.38,917.50,919.88,913.88,-,-0.0001
12-Feb-19,917.50,905.75,919.62,905.75,-,0.013
11-Feb-19,905.75,914.25,918.88,903.62,-,-0.0093
10-Feb-19,914.25,914.75,914.75,913.25,-,-0.0025
8-Feb-19,916.50,913.12,917.62,908.12,-,0.0038
7-Feb-19,913.00,921.25,921.38,910.62,-,-0.009
6-Feb-19,921.25,919.88,922.38,917.62,-,0.0011
5-Feb-19,920.25,919.00,920.88,913.62,-,0.0014
4-Feb-19,919.00,917.50,923.62,915.62,-,0.0016
3-Feb-19,917.50,917.50,917.50,917.50,-,0.0001
1-Feb-19,917.38,915.75,931.00,915.75,-,0.0018
31-Jan-19,915.75,920.00,926.62,913.38,-,-0.0046
30-Jan-19,920.00,919.50,923.88,917.38,-,0.0005
29-Jan-19,919.50,923.00,923.00,916.88,-,-0.0038
28-Jan-19,923.00,920.25,924.88,915.88,-,0.0027
27-Jan-19,920.50,922.50,923.00,920.50,-,-0.0031
25-Jan-19,923.38,916.25,925.88,913.38,-,0.0078
24-Jan-19,916.25,915.12,919.38,909.62,-,0.0014
23-Jan-19,915.00,911.00,918.12,910.00,-,0.0052
22-Jan-19,910.25,915.00,919.38,899.88,-,-0.0041
21-Jan-19,914.00,916.25,916.25,914.00,-,-0.0011
20-Jan-19,915.00,915.00,915.00,915.00,-,-0.0001
18-Jan-19,915.12,907.75,920.12,905.88,-,0.009
17-Jan-19,907.00,894.75,911.88,894.38,-,0.014
16-Jan-19,894.50,893.50,899.88,891.12,-,0.0014
15-Jan-19,893.25,903.25,907.88,892.62,-,-0.0113
14-Jan-19,903.50,910.25,911.00,901.62,-,-0.0077
